session_id	original_session_id
ses-M12+D10+2021+05+21+09+39+45	ses-M12_D10_2021-05-21_09-39-45
ses-M12+D10+2021+05+21+10+19+23	ses-M12_D10_2021-05-21_10-19-23
ses-M12+D11+2021+05+24+10+00+10	ses-M12_D11_2021-05-24_10-00-10
ses-M12+D11+2021+05+24+10+35+27	ses-M12_D11_2021-05-24_10-35-27
ses-M12+D12+2021+05+25+09+47+41	ses-M12_D12_2021-05-25_09-47-41
ses-M12+D12+2021+05+25+10+22+04	ses-M12_D12_2021-05-25_10-22-04
ses-M12+D13+2021+05+26+09+39+32	ses-M12_D13_2021-05-26_09-39-32
ses-M12+D13+2021+05+26+10+23+15	ses-M12_D13_2021-05-26_10-23-15
ses-M12+D14+2021+05+27+09+16+55	ses-M12_D14_2021-05-27_09-16-55
ses-M12+D14+2021+05+27+09+55+54	ses-M12_D14_2021-05-27_09-55-54
ses-M12+D15+2021+05+28+10+36+26	ses-M12_D15_2021-05-28_10-36-26
ses-M12+D15+2021+05+28+11+15+04	ses-M12_D15_2021-05-28_11-15-04
ses-M12+D16+2021+05+31+10+13+59	ses-M12_D16_2021-05-31_10-13-59
ses-M12+D16+2021+05+31+10+51+01	ses-M12_D16_2021-05-31_10-51-01
ses-M12+D17+2021+06+01+10+30+28	ses-M12_D17_2021-06-01_10-30-28
ses-M12+D17+2021+06+01+11+08+39	ses-M12_D17_2021-06-01_11-08-39
ses-M12+D18+2021+06+02+10+33+06	ses-M12_D18_2021-06-02_10-33-06
ses-M12+D18+2021+06+02+11+11+19	ses-M12_D18_2021-06-02_11-11-19
ses-M12+D19+2021+06+03+10+47+03	ses-M12_D19_2021-06-03_10-47-03
ses-M12+D19+2021+06+03+11+25+03	ses-M12_D19_2021-06-03_11-25-03
ses-M12+D1+2021+05+10+10+32+52	ses-M12_D1_2021-05-10_10-32-52
ses-M12+D1+2021+05+10+11+09+18	ses-M12_D1_2021-05-10_11-09-18
ses-M12+D20+2021+06+04+10+30+46	ses-M12_D20_2021-06-04_10-30-46
ses-M12+D20+2021+06+04+11+13+25	ses-M12_D20_2021-06-04_11-13-25
ses-M12+D21+2021+06+07+10+25+34	ses-M12_D21_2021-06-07_10-25-34
ses-M12+D21+2021+06+07+10+58+46	ses-M12_D21_2021-06-07_10-58-46
ses-M12+D22+2021+06+08+10+41+42	ses-M12_D22_2021-06-08_10-41-42
ses-M12+D22+2021+06+08+11+32+05	ses-M12_D22_2021-06-08_11-32-05
ses-M12+D23+2021+06+09+10+39+35	ses-M12_D23_2021-06-09_10-39-35
ses-M12+D23+2021+06+09+11+44+28	ses-M12_D23_2021-06-09_11-44-28
ses-M12+D24+2021+06+10+10+40+32	ses-M12_D24_2021-06-10_10-40-32
ses-M12+D24+2021+06+10+11+24+37	ses-M12_D24_2021-06-10_11-24-37
ses-M12+D25+2021+06+11+10+52+14	ses-M12_D25_2021-06-11_10-52-14
ses-M12+D25+2021+06+11+11+26+45	ses-M12_D25_2021-06-11_11-26-45
ses-M12+D26+2021+06+14+10+28+35	ses-M12_D26_2021-06-14_10-28-35
ses-M12+D26+2021+06+14+11+08+31	ses-M12_D26_2021-06-14_11-08-31
ses-M12+D27+2021+06+15+10+31+09	ses-M12_D27_2021-06-15_10-31-09
ses-M12+D27+2021+06+15+11+05+45	ses-M12_D27_2021-06-15_11-05-45
ses-M12+D28+2021+06+16+10+30+30	ses-M12_D28_2021-06-16_10-30-30
ses-M12+D28+2021+06+16+11+08+32	ses-M12_D28_2021-06-16_11-08-32
ses-M12+D29+2021+06+17+10+31+00	ses-M12_D29_2021-06-17_10-31-00
ses-M12+D29+2021+06+17+11+16+59	ses-M12_D29_2021-06-17_11-16-59
ses-M12+D2+2021+05+11+09+37+14	ses-M12_D2_2021-05-11_09-37-14
ses-M12+D2+2021+05+11+10+10+57	ses-M12_D2_2021-05-11_10-10-57
ses-M12+D30+2021+06+18+10+39+12	ses-M12_D30_2021-06-18_10-39-12
ses-M12+D30+2021+06+18+11+20+17	ses-M12_D30_2021-06-18_11-20-17
ses-M12+D3+2021+05+12+09+35+59	ses-M12_D3_2021-05-12_09-35-59
ses-M12+D3+2021+05+12+10+10+17	ses-M12_D3_2021-05-12_10-10-17
ses-M12+D4+2021+05+13+09+55+01	ses-M12_D4_2021-05-13_09-55-01
ses-M12+D4+2021+05+13+10+30+16	ses-M12_D4_2021-05-13_10-30-16
ses-M12+D5+2021+05+14+09+36+42	ses-M12_D5_2021-05-14_09-36-42
ses-M12+D5+2021+05+14+10+14+42	ses-M12_D5_2021-05-14_10-14-42
ses-M12+D6+2021+05+17+09+48+35	ses-M12_D6_2021-05-17_09-48-35
ses-M12+D6+2021+05+17+10+26+15	ses-M12_D6_2021-05-17_10-26-15
ses-M12+D7+2021+05+18+09+53+55	ses-M12_D7_2021-05-18_09-53-55
ses-M12+D7+2021+05+18+10+28+40	ses-M12_D7_2021-05-18_10-28-40
ses-M12+D8+2021+05+19+09+49+22	ses-M12_D8_2021-05-19_09-49-22
ses-M12+D8+2021+05+19+10+27+27	ses-M12_D8_2021-05-19_10-27-27
ses-M12+D9+2021+05+20+09+38+39	ses-M12_D9_2021-05-20_09-38-39
ses-M12+D9+2021+05+20+10+14+35	ses-M12_D9_2021-05-20_10-14-35
